New Account No,New MonthID, New Revenue 
00912115658,109," $1,504 "
00912115658,110, $584 
00912115658,111, $340 
00912115658,112," $1,192 "
00912115658,113," $1,151 "
00912115658,114," $1,114 "
00912115658,115, $-   
00912115658,116, $-   
00912115658,117, $-   
00912115658,118, $-   
00912115658,119, $-   
0058111327,109, $168 
00767116513,109," $38,507 "
00767116513,110," $10,566 "
00889115635,110, $406 
00889115635,111, $20 
00889115635,112, $930 
00889115635,113, $479 
00889115635,114, $901 
00889115635,115, $-   
00889115635,116, $-   
00889115635,117, $-   
00889115635,118, $-   
00889115635,119, $-   
00089115835,109," $2,112 "
00089115835,110," $20,150 "
00089115835,111," $15,747 "
00089115835,112," $16,147 "
00089115835,113," $1,204 "
00089115835,114," $1,270 "
00089115835,115, $-   
00089115835,116, $-   
00089115835,117, $-   
00089115835,118, $-   
00089115835,119, $-   
00706115452,109, $917 
00608116354,109, $-195 
00608116354,110," $23,645 "
00608116354,111," $23,788 "
00608116354,112," $29,435 "
00608116354,113," $44,738 "
00608116354,114," $30,929 "
00608116354,115, $-   
00608116354,116, $-   
00608116354,117, $-   
00608116354,118, $-   
00608116354,119, $-   
00200118946,109," $70,284 "
00200118946,110," $15,965 "
00920117666,109, $-179 
00920117666,110, $378 
00920117666,111, $423 
00920117666,112, $351 
00920117666,113, $733 
00920117666,114, $30 
00920117666,115, $-   
00920117666,116, $-   
00920117666,117, $-   
00920117666,118, $-   
00920117666,119, $-   
00922117668,109, $156 
00922117668,110, $41 
00922117668,111," $3,090 "
00922117668,112," $3,820 "
00922117668,113," $6,474 "
00922117668,114," $4,651 "
00922117668,115, $-   
00922117668,116, $-   
00922117668,117, $-   
00922117668,118, $-   
00922117668,119, $-   
00938117684,109, $848 
00938117684,110, $924 
00938117684,111, $-193 
00938117684,112, $-94 
00938117684,113, $318 
00938117684,114, $856 
00938117684,115, $-   
00938117684,116, $-   
00938117684,117, $-   
00938117684,118, $-   
00938117684,119, $-   
00945117691,109, $58 
00945117691,110, $762 
00945117691,111, $688 
00945117691,112, $908 
00945117691,113, $313 
00966117712,109, $522 
00966117712,110, $19 
00981117727,109, $691 
00981117727,110, $2 
00981117727,111, $923 
00981117727,112, $987 
00981117727,113, $535 
00981117727,114, $105 
00981117727,115, $-   
00981117727,116, $-   
00981117727,117, $-   
00981117727,118, $-   
00981117727,119, $-   
00024117770,109, $-192 
00024117770,110, $910 
00024117770,111, $-163 
00024117770,112, $303 
00024117770,113, $16 
00024117770,114, $-162 
00024117770,115, $-   
00024117770,116, $-   
00024117770,117, $-   
00024117770,118, $-   
00024117770,119, $-   
00051117797,110, $-78 
00051117797,111, $786 
00051117797,112, $-153 
00051117797,113, $390 
00051117797,114, $82 
00051117797,115, $-   
00051117797,116, $-   
00051117797,117, $-   
00051117797,118, $-   
00051117797,119, $-   
00054117800,109, $905 
00054117800,110, $704 
00054117800,111, $78 
00054117800,112, $254 
00054117800,113, $192 
00054117800,114, $559 
00054117800,115, $-   
00054117800,116, $-   
00054117800,117, $-   
00054117800,118, $-   
00054117800,119, $-   
00087117833,109, $717 
00087117833,110, $279 
00087117833,111, $573 
00087117833,112, $-133 
00087117833,113, $204 
00087117833,114, $-152 
00087117833,115, $-   
00087117833,116, $-   
00087117833,117, $-   
00087117833,118, $-   
00087117833,119, $-   
00098117844,109, $550 
00098117844,110, $413 
00098117844,111, $694 
00098117844,112, $328 
00098117844,113, $104 
00098117844,114, $885 
00098117844,115, $-   
00098117844,116, $-   
00098117844,117, $-   
00098117844,118, $-   
00098117844,119, $-   
00101117847,109," $9,688 "
00101117847,110," $7,012 "
00101117847,111," $4,106 "
00101117847,112," $6,639 "
00101117847,113," $8,292 "
00101117847,114," $6,893 "
00101117847,115, $-   
00101117847,116, $-   
00101117847,117, $-   
00101117847,118, $-   
00101117847,119, $-   
00245115991,109," $6,676 "
00245115991,110," $6,991 "
00245115991,111," $6,383 "
00245115991,112," $6,124 "
00245115991,113, $229 
00245115991,114, $254 
00245115991,115, $-   
00245115991,116, $-   
00245115991,117, $-   
00245115991,118, $-   
00245115991,119, $-   
00216116962,109, $-57 
00216116962,110, $207 
00216116962,111, $-   
00216116962,112, $550 
00216116962,113, $48 
00596112342,109," $1,942,874 "
00596112342,110," $557,453 "
00596112342,111," $411,553 "
00596112342,112," $396,276 "
00596112342,113," $467,360 "
00596112342,114," $436,303 "
00596112342,115, $-   
00596112342,116, $-   
00596112342,117, $-   
00596112342,118, $-   
00596112342,119, $-   
00082115828,109," $5,592 "
00082115828,110," $1,730 "
00260116006,109," $72,092 "
00260116006,110," $49,021 "
00260116006,111," $38,227 "
00260116006,112," $43,303 "
00260116006,113," $44,882 "
00260116006,114," $37,154 "
00260116006,115, $-   
00260116006,116, $-   
00260116006,117, $-   
00260116006,118, $-   
00260116006,119, $-   
00269116015,109, $343 
00269116015,110, $120 
00269116015,111, $292 
00269116015,112, $292 
00269116015,113, $598 
00269116015,114, $834 
00269116015,115, $-   
00269116015,116, $-   
00269116015,117, $-   
00269116015,118, $-   
00269116015,119, $-   
00051112797,109, $373 
00051112797,110, $329 
00458117204,109," $114,994 "
00458117204,110," $77,796 "
00458117204,111," $35,320 "
00458117204,112," $39,624 "
00458117204,113," $63,238 "
00458117204,114," $37,255 "
00458117204,115, $-   
00458117204,116, $-   
00458117204,117, $-   
00458117204,118, $-   
00458117204,119, $-   
0097611722,109, $-119 
0097611722,110, $-65 
0097611722,111, $384 
0097611722,112, $320 
0097611722,113, $-130 
0097611722,114, $210 
0097611722,115, $-   
0097611722,116, $-   
0097611722,117, $-   
0097611722,118, $-   
0097611722,119, $-   
0098711733,109, $921 
0098711733,110, $206 
0098711733,111, $489 
0098711733,112, $870 
0098711733,113, $641 
0098711733,114, $353 
0098711733,115, $-   
0098711733,116, $-   
0098711733,117, $-   
0098711733,118, $-   
0098711733,119, $-   
00613119359,109," $13,262 "
00613119359,110," $7,874 "
00613119359,111," $5,585 "
00613119359,112," $6,788 "
00613119359,113," $9,357 "
00613119359,114," $10,301 "
00613119359,115, $-   
00613119359,116, $-   
00613119359,117, $-   
00613119359,118, $-   
00613119359,119, $-   
00791111537,109," $2,340 "
00791111537,110, $305 
00791111537,111, $922 
00791111537,112," $1,732 "
00791111537,113," $1,548 "
00791111537,114, $852 
00791111537,115, $-   
00791111537,116, $-   
00791111537,117, $-   
00791111537,118, $-   
00791111537,119, $-   
00909115655,109," $16,973 "
00909115655,110," $2,904 "
00446111192,109," $8,391 "
00446111192,110," $4,572 "
00446111192,111," $2,462 "
00446111192,112," $3,297 "
00446111192,113," $5,393 "
00446111192,114," $5,146 "
00446111192,115, $-   
00446111192,116, $-   
00446111192,117, $-   
00446111192,118, $-   
00446111192,119, $-   
00748114494,109, $254 
00679113425,109, $844 
00552111298,109," $1,079,989 "
00552111298,110," $798,408 "
00552111298,111," $609,178 "
00552111298,112," $736,863 "
00552111298,113," $1,410,166 "
00552111298,114," $1,471,464 "
00552111298,115, $-   
00552111298,116, $-   
00552111298,117, $-   
00552111298,118, $-   
00552111298,119, $-   
003501196,109, $-113 
00610111356,109, $506 
00610111356,110, $-34 
00610111356,111, $631 
00610111356,112, $849 
00610111356,113," $3,932 "
00610111356,114," $6,725 "
00610111356,115, $-   
00610111356,116, $-   
00610111356,117, $-   
00610111356,118, $-   
00610111356,119, $-   
00764111510,109, $625 
00764111510,110, $449 
00764111510,111, $432 
00764111510,112, $186 
00764111510,113, $155 
00764111510,114, $194 
00764111510,115, $-   
00764111510,116, $-   
00764111510,117, $-   
00764111510,118, $-   
00764111510,119, $-   
00358113104,109," $35,262 "
00358113104,110," $23,439 "
00358113104,111," $20,261 "
00358113104,112," $27,803 "
00358113104,113," $69,921 "
00358113104,114," $75,891 "
00358113104,115, $-   
00358113104,116, $-   
00358113104,117, $-   
00358113104,118, $-   
00358113104,119, $-   
00514115260,109, $-165 
00514115260,110, $599 
00514115260,111, $445 
00514115260,112, $624 
00514115260,113, $892 
00514115260,114, $669 
00514115260,115, $-   
00514115260,116, $-   
00514115260,117, $-   
00514115260,118, $-   
00514115260,119, $-   
0041011156,109," $2,069 "
0041011156,110," $1,439 "
0041011156,111, $967 
0041011156,112, $820 
0041011156,113," $1,918 "
0041011156,114," $2,037 "
0041011156,115, $-   
0041011156,116, $-   
0041011156,117, $-   
0041011156,118, $-   
0041011156,119, $-   
00177111923,109," $3,178 "
00177111923,110," $1,409 "
00530115276,109, $415 
00530115276,110, $88 
00530115276,111, $600 
00530115276,112, $-78 
00530115276,113, $-73 
00530115276,114, $788 
00530115276,115, $-   
00530115276,116, $-   
00530115276,117, $-   
00530115276,118, $-   
00530115276,119, $-   
00560117306,109, $809 
00560117306,110, $425 
00560117306,111, $8 
00560117306,112, $262 
00560117306,113, $757 
00560117306,114, $575 
00560117306,115, $-   
00560117306,116, $-   
00560117306,117, $-   
00560117306,118, $-   
00560117306,119, $-   
00993119739,109," $38,822 "
00993119739,110," $23,584 "
00993119739,111," $12,832 "
00993119739,112," $12,286 "
00993119739,113," $35,393 "
00993119739,114," $12,367 "
00993119739,115, $-   
00993119739,116, $-   
00993119739,117, $-   
00993119739,118, $-   
00993119739,119, $-   
00980112726,109, $222 
00717114463,109, $731 
00039114785,109, $658 
00383113129,109, $-16 
00383113129,110, $-76 
00383113129,111, $864 
00383113129,112, $939 
00383113129,113, $701 
00383113129,114, $866 
00383113129,115, $-   
00383113129,116, $-   
00383113129,117, $-   
00383113129,118, $-   
00383113129,119, $-   
00358111104,109, $-21 
00358111104,110," $18,979 "
00358111104,111," $19,262 "
00358111104,112," $23,025 "
00358111104,113," $51,298 "
00358111104,114," $48,342 "
00358111104,115, $-   
00358111104,116, $-   
00358111104,117, $-   
00358111104,118, $-   
00358111104,119, $-   
00001118747,109," $18,670 "
00001118747,110," $24,781 "
00001118747,111," $12,312 "
00001118747,112," $34,799 "
00001118747,113," $48,520 "
00001118747,114," $24,809 "
00001118747,115, $-   
00001118747,116, $-   
00001118747,117, $-   
00001118747,118, $-   
00001118747,119, $-   
003171163,109, $805 
003171163,110, $629 
003171163,111, $-63 
003171163,112, $517 
003171163,113, $179 
003171163,114, $705 
003171163,115, $-   
003171163,116, $-   
003171163,117, $-   
003171163,118, $-   
003171163,119, $-   
00125112871,109, $-165 
00125112871,110, $153 
00125112871,111, $-15 
00125112871,112, $747 
00125112871,113, $323 
00125112871,114, $-196 
00125112871,115, $-   
00125112871,116, $-   
00125112871,117, $-   
00125112871,118, $-   
00125112871,119, $-   
00041115787,109, $281 
00624111370,109," $4,305 "
00624111370,110," $4,836 "
00624111370,111," $2,390 "
00624111370,112," $4,270 "
00624111370,113," $4,431 "
00624111370,114," $5,395 "
00624111370,115, $-   
00624111370,116, $-   
00624111370,117, $-   
00624111370,118, $-   
00624111370,119, $-   
00763112509,109," $10,961 "
00763112509,110," $5,300 "
00763112509,111," $5,436 "
00763112509,112," $7,005 "
00763112509,113," $13,163 "
00763112509,114," $11,302 "
00763112509,115, $-   
00763112509,116, $-   
00763112509,117, $-   
00763112509,118, $-   
00763112509,119, $-   
00773119519,109, $159 
00773119519,110, $-9 
00773119519,111, $71 
00773119519,112, $544 
00773119519,113, $107 
00773119519,114, $415 
00773119519,115, $-   
00773119519,116, $-   
00773119519,117, $-   
00773119519,118, $-   
00773119519,119, $-   
00593112339,109, $436 
00593112339,110, $829 
00593112339,111, $375 
00593112339,112, $294 
00593112339,113, $264 
00593112339,114, $-156 
00593112339,115, $-   
00593112339,116, $-   
00593112339,117, $-   
00593112339,118, $-   
00593112339,119, $-   
00227112973,109," $18,688 "
00227112973,110," $11,581 "
00227112973,111," $8,169 "
00227112973,112," $9,031 "
00227112973,113," $15,236 "
00227112973,114," $7,985 "
00227112973,115, $-   
00227112973,116, $-   
00227112973,117, $-   
00227112973,118, $-   
00227112973,119, $-   
0058611332,109," $2,598 "
0058611332,110," $1,650 "
0058611332,111," $1,945 "
0058611332,112," $1,279 "
0058611332,113," $1,933 "
0058611332,114," $2,108 "
0058611332,115, $-   
0058611332,116, $-   
0058611332,117, $-   
0058611332,118, $-   
0058611332,119, $-   
00303116049,109, $319 
00395112141,109, $913 
00327116073,109, $-62 
00574117320,109, $897 
00574117320,110, $848 
00574117320,111, $955 
00574117320,112," $1,126 "
00574117320,113, $326 
00574117320,114, $598 
00574117320,115, $-   
00574117320,116, $-   
00574117320,117, $-   
00574117320,118, $-   
00574117320,119, $-   
00654118400,109, $866 
00654118400,110, $583 
00013116759,109, $-61 
00013116759,110, $199 
00013116759,111, $790 
00013116759,112, $406 
00013116759,113, $599 
00013116759,114, $358 
00013116759,115, $-   
00013116759,116, $-   
00013116759,117, $-   
00013116759,118, $-   
00013116759,119, $-   
00409113155,109, $895 
00832116578,109, $642 
00832116578,110, $106 
00832116578,111, $727 
00832116578,112, $535 
00832116578,113, $103 
00832116578,114, $24 
00832116578,115, $-   
00832116578,116, $-   
00832116578,117, $-   
00832116578,118, $-   
00832116578,119, $-   
0065711403,109," $195,397 "
0065711403,110," $128,273 "
0065711403,111," $80,299 "
0065711403,112," $109,059 "
0065711403,113," $159,157 "
0065711403,114," $114,638 "
0065711403,115, $-   
0065711403,116, $-   
0065711403,117, $-   
0065711403,118, $-   
0065711403,119, $-   
00465112211,109, $-180 
0009711-157,110, $-15 
0009711-157,111, $347 
0009711-157,112, $589 
0009711-157,113, $76 
0009711-157,114, $127 
0009711-157,115, $-   
0009711-157,116, $-   
0009711-157,117, $-   
0009711-157,118, $-   
0009711-157,119, $-   
00000116746,109, $-174 
00232116978,109," $2,696 "
00232116978,110," $27,333 "
00232116978,111," $33,364 "
00232116978,112," $29,759 "
00232116978,113," $32,826 "
00232116978,114," $26,737 "
00232116978,115, $-   
00232116978,116, $-   
00232116978,117, $-   
00232116978,118, $-   
00232116978,119, $-   
00274117020,110, $501 
00274117020,111, $936 
00274117020,112, $577 
00274117020,113, $450 
00274117020,114, $391 
00274117020,115, $-   
00274117020,116, $-   
00274117020,117, $-   
00274117020,118, $-   
00274117020,119, $-   
00382117128,109," $2,778,106 "
00382117128,110," $1,906,328 "
00382117128,111," $1,257,705 "
00382117128,112," $1,582,692 "
00382117128,113," $2,566,342 "
00382117128,114," $1,969,058 "
00382117128,115, $-   
00382117128,116, $-   
00382117128,117, $-   
00382117128,118, $-   
00382117128,119, $-   
00974119720,109," $6,742 "
00974119720,110," $8,456 "
00974119720,111," $3,419 "
00974119720,112," $6,804 "
00974119720,113," $7,006 "
00974119720,114," $6,226 "
00974119720,115, $-   
00974119720,116, $-   
00974119720,117, $-   
00974119720,118, $-   
00974119720,119, $-   
00796111542,109, $311 
00796111542,110, $459 
00796111542,111, $691 
00796111542,112, $449 
00796111542,113, $908 
00796111542,114, $405 
00796111542,115, $-   
00796111542,116, $-   
00796111542,117, $-   
00796111542,118, $-   
00796111542,119, $-   
00293113039,109, $541 
00293113039,110, $451 
00293113039,111, $492 
00293113039,112, $509 
00293113039,113," $1,096 "
00293113039,114, $501 
00293113039,115, $-   
00293113039,116, $-   
00293113039,117, $-   
00293113039,118, $-   
00293113039,119, $-   
0007511-179,109, $711 
0007511-179,110, $809 
0007511-179,111, $-72 
0007511-179,112, $61 
0007511-179,113, $-99 
0007511-179,114, $257 
0007511-179,115, $-   
0007511-179,116, $-   
0007511-179,117, $-   
0007511-179,118, $-   
0007511-179,119, $-   
0007611-178,109, $689 
0007611-178,110, $-92 
0007611-178,111, $-98 
0007611-178,112, $869 
0007611-178,113, $761 
0007611-178,114, $-125 
0007611-178,115, $-   
0007611-178,116, $-   
0007611-178,117, $-   
0007611-178,118, $-   
0007611-178,119, $-   
0011111-143,109, $-173 
00800111546,110, $-130 
00800111546,111, $30 
00800111546,112, $518 
00800111546,113, $932 
00800111546,114, $222 
00800111546,115, $-   
00800111546,116, $-   
00800111546,117, $-   
00800111546,118, $-   
00800111546,119, $-   
00632114378,109," $42,594 "
00632114378,110," $28,162 "
00632114378,111," $21,626 "
00632114378,112," $28,737 "
00632114378,113," $46,389 "
00632114378,114," $40,337 "
00632114378,115, $-   
00632114378,116, $-   
00632114378,117, $-   
00632114378,118, $-   
00632114378,119, $-   
00502113248,110, $715 
00684114430,109," $172,432 "
00684114430,110," $137,222 "
00684114430,111," $79,569 "
00684114430,112," $108,398 "
00684114430,113," $161,321 "
00684114430,114," $155,890 "
00684114430,115, $-   
00684114430,116, $-   
00684114430,117, $-   
00684114430,118, $-   
00684114430,119, $-   
00059113805,109, $30 
00070113816,109, $293 
00070113816,110, $297 
00070113816,111, $268 
00070113816,112, $346 
00070113816,113, $-135 
00070113816,114, $-130 
00070113816,115, $-   
00070113816,116, $-   
00070113816,117, $-   
00070113816,118, $-   
00070113816,119, $-   
00358114104,109, $837 
00358114104,110, $-82 
00358114104,111, $425 
00358114104,112, $707 
00358114104,113, $545 
00358114104,114, $179 
00358114104,115, $-   
00358114104,116, $-   
00358114104,117, $-   
00358114104,118, $-   
00358114104,119, $-   
00957114703,109, $730 
00323118069,109, $807 
00323118069,110, $67 
00323118069,111, $-117 
00323118069,112, $543 
00323118069,113, $-97 
00323118069,114, $716 
00323118069,115, $-   
00323118069,116, $-   
00323118069,117, $-   
00323118069,118, $-   
00323118069,119, $-   
00447119193,109, $526 
00447119193,110, $113 
00447119193,111," $1,021 "
00447119193,112, $967 
00447119193,113, $892 
00447119193,114, $984 
00447119193,115, $-   
00447119193,116, $-   
00447119193,117, $-   
00447119193,118, $-   
00447119193,119, $-   
00736119482,109, $10 
00168115914,109," $135,713 "
00168115914,110," $82,460 "
00168115914,111," $42,239 "
00168115914,112," $35,902 "
00168115914,113," $115,087 "
00168115914,114," $43,778 "
00168115914,115, $-   
00168115914,116, $-   
00168115914,117, $-   
00168115914,118, $-   
00168115914,119, $-   
0039011136,109, $839 
0073211478,109, $31 
00155117901,109," $13,561 "
00155117901,110, $433 
00155117901,111," $2,237 "
00155117901,112," $2,631 "
00155117901,113, $872 
00155117901,114, $-30 
00155117901,115, $-   
00155117901,116, $-   
00155117901,117, $-   
00155117901,118, $-   
00155117901,119, $-   
00911118657,109, $215 
00911118657,110," $2,422 "
00911118657,111," $4,098 "
00911118657,112," $1,627 "
00911118657,113," $2,151 "
00911118657,114, $962 
00911118657,115, $-   
00911118657,116, $-   
00911118657,117, $-   
00911118657,118, $-   
00911118657,119, $-   
00299119045,109," $117,679 "
00299119045,110," $90,611 "
00299119045,111," $63,304 "
00299119045,112," $74,575 "
00299119045,113," $113,756 "
00299119045,114," $83,531 "
00299119045,115, $-   
00299119045,116, $-   
00299119045,117, $-   
00299119045,118, $-   
00299119045,119, $-   
0079211538,109, $659 
00711112457,109," $28,784 "
00711112457,110," $19,658 "
00711112457,111," $15,969 "
00711112457,112," $18,248 "
00711112457,113," $17,512 "
00711112457,114," $14,392 "
00711112457,115, $-   
00711112457,116, $-   
00711112457,117, $-   
00711112457,118, $-   
00711112457,119, $-   
00293116039,109," $161,158 "
00293116039,110," $152,762 "
00293116039,111," $90,508 "
00293116039,112," $105,552 "
00293116039,113," $176,027 "
00293116039,114," $139,669 "
00293116039,115, $-   
00293116039,116, $-   
00293116039,117, $-   
00293116039,118, $-   
00293116039,119, $-   
00366116112,109, $-81 
00366116112,110, $105 
00462116208,109, $479 
00462116208,110, $805 
00462116208,111, $722 
00462116208,112, $361 
00462116208,113, $609 
00462116208,114, $577 
00462116208,115, $-   
00462116208,116, $-   
00462116208,117, $-   
00462116208,118, $-   
00462116208,119, $-   
00985115731,109, $289 
00985115731,110, $-135 
00985115731,111, $935 
00985115731,112, $86 
00985115731,113, $809 
00985115731,114, $111 
00985115731,115, $-   
00985115731,116, $-   
00985115731,117, $-   
00985115731,118, $-   
00985115731,119, $-   
00988115734,109," $16,634 "
00988115734,110," $7,603 "
00988115734,111," $7,791 "
00988115734,112," $8,421 "
00988115734,113," $13,912 "
00988115734,114," $9,214 "
00988115734,115, $-   
00988115734,116, $-   
00988115734,117, $-   
00988115734,118, $-   
00988115734,119, $-   
00009115755,109, $901 
00009115755,110, $47 
00009115755,111, $9 
00009115755,112, $109 
00009115755,113, $77 
00009115755,114, $-10 
00009115755,115, $-   
00009115755,116, $-   
00009115755,117, $-   
00009115755,118, $-   
00009115755,119, $-   
00015115761,109," $17,236 "
00015115761,110," $79,179 "
00015115761,111," $7,519 "
00015115761,112," $9,723 "
00015115761,113," $16,125 "
00015115761,114," $18,253 "
00015115761,115, $-   
00015115761,116, $-   
00015115761,117, $-   
00015115761,118, $-   
00015115761,119, $-   
00020115766,109," $65,474 "
00020115766,110," $36,858 "
00020115766,111," $29,442 "
00020115766,112," $34,261 "
00020115766,113," $49,165 "
00020115766,114," $40,743 "
00020115766,115, $-   
00020115766,116, $-   
00020115766,117, $-   
00020115766,118, $-   
00020115766,119, $-   
0001711-237,109, $888 
0001711-237,110, $232 
0001711-237,111, $479 
0001711-237,112, $636 
0001711-237,113, $316 
0001711-237,114, $784 
0001711-237,115, $-   
0001711-237,116, $-   
0001711-237,117, $-   
0001711-237,118, $-   
0001711-237,119, $-   
00414112160,109," $172,045 "
00414112160,110," $99,326 "
00414112160,111," $77,945 "
00414112160,112," $91,716 "
00414112160,113," $150,150 "
00414112160,114," $126,684 "
00414112160,115, $-   
00414112160,116, $-   
00414112160,117, $-   
00414112160,118, $-   
00414112160,119, $-   
00428112174,109, $943 
00428112174,110, $111 
00428112174,111, $823 
00428112174,112, $91 
00428112174,113, $471 
00428112174,114, $-75 
00428112174,115, $-   
00428112174,116, $-   
00428112174,117, $-   
00428112174,118, $-   
00428112174,119, $-   
00292114038,109, $488 
00292114038,110, $462 
00292114038,111, $-96 
00292114038,112, $-184 
00292114038,113, $250 
00292114038,114, $177 
00292114038,115, $-   
00292114038,116, $-   
00292114038,117, $-   
00292114038,118, $-   
00292114038,119, $-   
00406112152,109, $444 
00406112152,110, $695 
00406112152,111, $192 
00406112152,112, $873 
00406112152,113, $254 
00406112152,114, $438 
00406112152,115, $-   
00406112152,116, $-   
00406112152,117, $-   
00406112152,118, $-   
00406112152,119, $-   
00476116222,109," $4,371,453 "
00476116222,110," $2,942,216 "
00476116222,111," $1,977,044 "
00476116222,112," $2,365,119 "
00476116222,113," $3,854,567 "
00476116222,114," $3,129,011 "
00476116222,115, $-   
00476116222,116, $-   
00476116222,117, $-   
00476116222,118, $-   
00476116222,119, $-   
00953115699,109, $627 
00953115699,110, $648 
