New Account No,New MonthID, New Targets 
00912115658,109," $1,442 "
00912115658,110, $787 
00912115658,111, $468 
00912115658,112," $1,411 "
00912115658,113," $1,202 "
00912115658,114," $1,161 "
00912115658,115, $960 
00912115658,116," $1,834 "
00912115658,117," $1,418 "
00912115658,118, $708 
00912115658,119, $654 
0058111327,109, $46 
00767116513,109," $38,454 "
00767116513,110," $10,802 "
00889115635,110, $250 
00889115635,111, $201 
00889115635,112, $717 
00889115635,113, $654 
00889115635,114," $1,140 "
00889115635,115, $559 
00889115635,116," $1,047 "
00889115635,117, $590 
00889115635,118, $562 
00889115635,119, $103 
00089115835,109," $2,269 "
00089115835,110," $19,963 "
00089115835,111," $15,779 "
00089115835,112," $16,095 "
00089115835,113," $1,301 "
00089115835,114," $1,198 "
00089115835,115," $14,260 "
00089115835,116," $25,507 "
00089115835,117," $1,105 "
00089115835,118, $539 
00089115835,119, $426 
00706115452,109, $890 
00608116354,109, $57 
00608116354,110," $23,450 "
00608116354,111," $23,700 "
00608116354,112," $29,381 "
00608116354,113," $44,786 "
00608116354,114," $31,121 "
00608116354,115," $27,768 "
00608116354,116," $42,408 "
00608116354,117," $35,300 "
00608116354,118," $27,878 "
00608116354,119," $11,118 "
00200118946,109," $70,129 "
00200118946,110," $15,779 "
00920117666,109, $41 
00920117666,110, $410 
00920117666,111, $534 
00920117666,112, $293 
00920117666,113, $899 
00920117666,114, $49 
00920117666,115, $191 
00920117666,116, $922 
00920117666,117, $784 
00920117666,118, $471 
00920117666,119, $158 
00922117668,109, $341 
00922117668,110, $202 
00922117668,111," $3,245 "
00922117668,112," $3,901 "
00922117668,113," $6,354 "
00922117668,114," $4,438 "
00922117668,115," $3,751 "
00922117668,116," $7,281 "
00922117668,117," $4,335 "
00922117668,118," $3,794 "
00922117668,119," $1,645 "
00938117684,109," $1,051 "
00938117684,110," $1,148 "
00938117684,111, $77 
00938117684,112, $181 
00938117684,113, $106 
00938117684,114, $801 
00938117684,115, $339 
00938117684,116, $898 
00938117684,117, $825 
00938117684,118, $286 
00938117684,119, $922 
00945117691,109, $197 
00945117691,110, $661 
00945117691,111, $790 
00945117691,112," $1,120 "
00945117691,113, $497 
00966117712,109, $331 
00966117712,110, $160 
00981117727,109, $866 
00981117727,110, $41 
00981117727,111, $979 
00981117727,112, $801 
00981117727,113, $528 
00981117727,114, $110 
00981117727,115, $374 
00981117727,116, $269 
00981117727,117, $692 
00981117727,118, $78 
00981117727,119, $794 
00024117770,109, $55 
00024117770,110, $989 
00024117770,111, $213 
00024117770,112, $341 
00024117770,113, $154 
00024117770,114, $149 
00024117770,115, $373 
00024117770,116, $310 
