 New Account No ,New Account Name,Industry,Sector,Account Segment,Account Manager Alias,Segment Manager,Industry Manager
338122084,Communities,Libraries and Museums,Libraries and Museums,SMC Comm,BECComs,Matthew L.,Andre D.
318122084,DualLight,Banking,Banking,Priority Commercial,SWIDung,Stelios F.,Tina Q.
984131730,ReactRegister,Retailers,General Merchandise,Priority Commercial,UNDRese,Stelios F.,Garry N.
984132730,Iselectrics,Pharmaceuticals,Pharmaceuticals,Priority Commercial,UNDIsls,Stelios F.,Rob K.
654142400,tism 19,Higher Education,Higher Education,SMC Education,UNDmyon,Ben Mk.,John Y.
832141578,dezu 14,Local Government,Public Safety,Priority PS,SADapty,Andrew I.,Dan U.
654142100,dore 5,Professional Services,Other Services,Priority Commercial,LKIsues,Stelios F.,Jemma I.
832149578,coid 8,Consumer Goods,Consumer Goods,SMC Comm,CHSouds,Matthew L.,Maria J.
521155268,Random Reasoning Random Assortment,Smart Spaces,Water and Sewage,SMC Comm,Rage,Matthew L.,David B.
522155268,Sufficient Support Random Release,Energy,Mining,SMC Education,Sung,Ben Mk.,Peter J.
198169344,Voice Caption Center FursKips,Professional Services,Data,Priority Commercial,Vota,Stelios F.,Jemma I.
598169344,Live Symbol Fresh Accent,National Government,Public Works and Services,SMC Comm,Lies,Matthew L.,Onur T.
912115658,symi,Banking,Banking,Priority Commercial,PHGsyng,Stelios F.,Tina Q.
58111327,sylo,Banking,Capital Markets/Securities,Priority PS,CRMsyes,Andrew I.,Tina Q.
767116513,kazz,Chemicals,Automotive,Public Sector,JUWkave,John H.,Melina K.
889115635,mare,Chemicals,Chemicals,SMB,JUWmals,Tom F.,Melina K.
89115835,octo,Consumer Goods,Consumer Goods,SMC Comm,ANCocds,Matthew L.,Maria J.
706115452,tran,Consumer Goods,Food and Beverage,SMC Education,JEBtrge,Ben Mk.,Maria J.
608116354,cogi,Consumer Goods,Wholesale Distribution,Strategic,JOBcoon,Bilal G.,Maria J.
200118946,cedi,Defenses,National Security,SMC Comm,JOBcety,Matthew L.,Melpo Y.
920117666,maxi,Energy,Electricity and Gas Services,SMC Education,JOMmaes,Ben Mk.,Peter J.
922117668,syni,Energy,Mining,Strategic,LJAsyng,Bilal G.,Peter J.
938117684,boni,Energy,Oil and Gas,Priority PS,ROOboas,Andrew I.,Peter J.
945117691,difi,Entertainment and Media,Advertising,Public Sector,CABding,John H.,Pan R.
966117712,cano,Entertainment and Media,Broadcasters,SMB,BHBcars,Tom F.,Pan R.
981117727,anim,Entertainment and Media,Publishing,Priority Commercial,UNDanng,Stelios F.,Pan R.
24117770,anti,Health,Health Payor,Priority Commercial,BHBanor,Stelios F.,Ricci M.
51117797,ultr,Health,Health Provider,Priority PS,JUWuler,Andrew I.,Ricci M.
54117800,circ,Higher Education,Higher Education,Public Sector,ROGcion,John H.,John Y.
87117833,cami,Insurance,Insurance Direct,SMB,STUcact,Tom F.,Lena I.
98117844,aquz,Insurance,Insurance Other,SMC Comm,MIRaqer,Matthew L.,Lena I.
101117847,pode,Libraries and Museums,Libraries and Museums,SMC Education,DAPpoms,Ben Mk.,Andre D.
245115991,noni,Local Government,Public Safety,Strategic,THOnoty,Bilal G.,Dan U.
216116962,domi,Manufacturing,Automotive,SMC Comm,CLWdove,Matthew L.,Helen R.
596112342,yaki,Manufacturing,High Tech and Electronics,SMC Education,UNDyacs,Ben Mk.,Helen R.
82115828,retr,National Government,Government Social Programs,Strategic,PALrems,Bilal G.,Onur T.
260116006,pron,National Government,Justice,Priority PS,PHGprce,Andrew I.,Onur T.
269116015,agiv,National Government,Public Administration,Public Sector,CLWagon,John H.,Onur T.
51112797,mono,National Government,Public Works and Services,SMB,THOmoes,Tom F.,Onur T.
458117204,vice,National Government,Resources and Environment,Priority Commercial,UNDvint,Stelios F.,Onur T.
97611722,ombe,National Government,Tax and Revenue,Priority Commercial,JAComue,Stelios F.,Onur T.
98711733,audo,Nonprofit,Charities and Philanthropic,Priority PS,MIRauic,Andrew I.,Dexter R.
613119359,fala,Nonprofit,Membership Organizations,Public Sector,UNDfans,John H.,Dexter R.
791111537,para,Pharmaceuticals,Pharmaceuticals,SMB,GASpals,Tom F.,Rob K.
909115655,mult,Primary Education,Primary Education,SMC Comm,KASmuon,Matthew L.,Jenna L.
446111192,ideo,Professional Services,Accounting and Consulting,SMC Education,UNDidng,Ben Mk.,Jemma I.
748114494,cryp,Professional Services,Data,Strategic,EDUcrta,Bilal G.,Jemma I.
679113425,yafi,Professional Services,IT Services,SMC Comm,LJAyaes,Matthew L.,Jemma I.
552111298,inte,Professional Services,Legal Services,SMC Education,MITines,Ben Mk.,Jemma I.
3501196,myil,Professional Services,Other Services,Strategic,BHBmyes,Bilal G.,Jemma I.
610111356,vert,Professional Services,Outsourced Services,Priority PS,DAMvees,Andrew I.,Jemma I.
764111510,lupe,Professional Services,Software,Public Sector,PAMlure,John H.,Jemma I.
358113104,hypo,Retailers,Food Service,SMB,PHGhyce,Tom F.,Garry N.
514115260,kaye,Retailers,General Merchandise,Priority Commercial,NIDkase,Stelios F.,Garry N.
41011156,geor,Retailers,Grocery,Priority Commercial,UNDgery,Stelios F.,Garry N.
177111923,unib,Retailers,Motor Vehicle and Parts Dealers,Priority PS,DAPunrs,Andrew I.,Garry N.
530115276,arch,Retailers,Specialty Retail,Public Sector,CABaril,John H.,Garry N.
560117306,avif,Smart Spaces,Architecture and Engineering,SMB,BHBavng,Tom F.,David B.
993119739,bell,Smart Spaces,Construction,SMC Comm,CAGbeon,Matthew L.,David B.
980112726,meta,Smart Spaces,Real Estate,SMC Education,ROGmete,Ben Mk.,David B.
717114463,hydr,Smart Spaces,Water and Sewage,Strategic,UNDhyge,Bilal G.,David B.
39114785,cole,Telecommunications,Hosters and ISPs,SMC Comm,NIDcoPs,Matthew L.,Paul P.
